Matricule;Annee;Agrégat;c;Grade;nb.mois;Régime
010850;2009;1052,62;1;ADJOINT ADMINIST. 2 CL;12;IAT 8 mois-PSR 3 mois-Cumul 1 mois
010850;2010;866,88;0;TECHN. SUP. TERR.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
010850;2011;869,04;0;TECHNICIEN PRINCIP 2CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
010850;2012;1283,88;0;TECHNICIEN TERR PAL 2 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
010850;2013;1283,88;0;TECHNICIEN TERR PAL 2 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011025;2009;1251,84;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011025;2010;1260,96;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011025;2011;1264,08;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011025;2012;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011025;2013;1610,56;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
011121;2009;1747,96;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
011121;2010;2333,07;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
011121;2011;2243,95;0;AGENT MAITRISE PRINCIPAL;11;IAT 11 mois-PSR 0 mois-Cumul 0 mois
011121;2012;1907,72;0;AGENT MAITRISE PRINCIPAL;12;IAT 1 mois-PSR 11 mois-Cumul 0 mois
011121;2013;1971,96;0;TECHNICIEN TERRITORIAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012019;2009;2738,07;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012019;2010;2527,56;0;INGENIEUR PRINCIPAL;11;IAT 0 mois-PSR 11 mois-Cumul 0 mois
012019;2011;2112,75;0;INGENIEUR PRINCIPAL;7;IAT 0 mois-PSR 7 mois-Cumul 0 mois
012019;2012;934,32;0;INGENIEUR PRINCIPAL;4;IAT 0 mois-PSR 4 mois-Cumul 0 mois
012033;2009;1597,92;0;INGENIEUR;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012033;2010;1475,04;0;INGENIEUR;11;IAT 0 mois-PSR 11 mois-Cumul 0 mois
012033;2011;2112,75;0;INGENIEUR PRINCIPAL;7;IAT 0 mois-PSR 7 mois-Cumul 0 mois
012033;2012;2802,96;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012033;2013;2802,96;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012050;2009;2738,07;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012050;2010;2527,56;0;INGENIEUR PRINCIPAL;11;IAT 0 mois-PSR 11 mois-Cumul 0 mois
012050;2011;2112,75;0;INGENIEUR PRINCIPAL;7;IAT 0 mois-PSR 7 mois-Cumul 0 mois
012050;2012;2802,96;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012050;2013;2802,96;0;INGENIEUR PRINCIPAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012065;2009;1747,96;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012065;2010;2401,68;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012065;2011;2405,68;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012065;2012;1971,96;0;TECHNICIEN TERRITORIAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012065;2013;1971,96;0;TECHNICIEN TERRITORIAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012069;2009;1813,68;0;CONTROLEUR TER.PAL. TRAV;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012069;2010;1826,82;0;CONTROLEUR TER.PAL. TRAV;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012069;2011;1831,32;0;TECHNICIEN PRINCIP 2CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012069;2012;1283,88;0;TECHNICIEN TERR PAL 2 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012069;2013;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012074;2009;1747,96;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012074;2010;2401,68;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012074;2011;2405,68;0;AGENT MAITRISE PRINCIPAL;12;IAT 12 mois-PSR 0 mois-Cumul 0 mois
012074;2012;1971,96;0;TECHNICIEN TERRITORIAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012074;2013;1971,96;0;TECHNICIEN TERRITORIAL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012114;2009;1251,84;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012114;2010;1260,96;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012114;2011;1264,08;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012114;2012;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012114;2013;1567,04;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012118;2009;1251,84;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012118;2010;1260,96;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012118;2011;1264,08;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012118;2012;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012118;2013;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012125;2009;1251,84;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012125;2010;1260,96;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012125;2011;1264,08;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012125;2012;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012125;2013;1392,96;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012150;2009;5669,88;0;DGST 40 80 MILES HAB;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012150;2010;5233,93;0;DGST 40 80 MILES HAB;11;IAT 0 mois-PSR 11 mois-Cumul 0 mois
012150;2011;4303,53;0;DGST 40 80 MILES HAB;7;IAT 0 mois-PSR 7 mois-Cumul 0 mois
012150;2012;5738,04;0;DGST 40 80 MILES HAB;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012150;2013;5738,04;0;DGST 40 80 MILES HAB;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012161;2010;67,31;0;TECHN. SUP CHEF.;2;IAT 0 mois-PSR 2 mois-Cumul 0 mois
012161;2011;782,4;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012161;2012;696,48;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012161;2013;696,48;0;TECHNICIEN TERR PAL 1 CL;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012176;2009;682,29;0;INGENIEUR PRINCIPAL;3;IAT 0 mois-PSR 3 mois-Cumul 0 mois
012190;2009;1251,84;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
012190;2010;1260,96;0;TECHN. SUP CHEF.;12;IAT 0 mois-PSR 12 mois-Cumul 0 mois
